Wood Width,Wood Thickness,Iron Width,Iron Thickness,Edge Distance,Bolt Diameter,Bolt Number,Bolt Type,Load Ratio,Weight,Fire Resistance Time,Load carrying capacity
320.8552479,200.2216325,161.5495987,6,105.1548819,18.47864355,5.773662657,1,10,-150.381897,22.77655493,-176264.8847
320.1198335,200.2216325,161.5495987,6,108.1560421,18.9217905,5.673044128,1,10,-150.381897,22.89351421,-180248.9686
320.8552479,200.2216325,161.5495987,6.276485998,109.8814549,18.52492493,5.979763942,1,10,-150.381897,23.09308686,-183328.7533
320.8552479,200.0518129,161.9449352,6.022257766,117.5056236,18.96913776,5.932437617,1,10,-150.381897,23.19008277,-189285.1796
320.8552479,200.2216325,173.9755198,6,109.8814549,18.9217905,5.962760692,1,10,-150.381897,23.37254952,-189454.0991
320.8552479,200.2216325,167.3618701,6,108.5972805,15.38186913,5.713551831,1,10,-150.3795319,21.2786451,-127739.9747
320.8552479,200.2216325,161.5495987,6.09136003,124.6670415,10.76941328,7.45307705,1,10,-150.3202972,19.98672568,-90076.33386
320.1198335,198.6589627,172.1698201,6,101.5889863,9.186336824,5.873189115,1,10,-150.2422638,18.99732024,-53787.13078
320.8552479,200.2216325,161.5495987,6,99.51707812,9.495481387,7.817859032,1,10,-150.1030426,19.54364103,-75862.31321
320.8552479,200.2216325,161.5495987,6.022257766,100.4990462,12.20383043,7.923858916,1,10,-150.1030426,20.76546124,-118970.7374
320.1198335,200.2216325,172.1698201,6,110.7759894,20,6.099491412,1,10,-150.0554047,24.08951735,-212698.8531
320.8552479,200.2216325,172.1698201,6.438086891,108.5972805,20,6.307428034,1,10,-150.0554047,24.52511861,-219949.93
320.8552479,200.2216325,173.9755198,6,109.8814549,20,6.805153885,1,10,-150.0554047,24.87132957,-237306.4128
320.8552479,200.2216325,173.9755198,6,114.9221344,20,7.313393222,1,10,-150.0554047,25.39023455,-255029.5174
320.1198335,200.2216325,161.5495987,6.072110656,105.1548819,20,7.554352799,1,10,-150.0554047,25.4513056,-263432.1566
320.1198335,200.4712403,172.1698201,6,108.5972805,20,7.734919661,1,10,-150.0554047,25.78814272,-269728.8069
320.1198335,200.2216325,161.5495987,6,114.9221344,20,7.928430095,1,10,-150.0554047,25.803906,-276476.8199
320.8552479,200.2216325,161.5495987,6,108.5972805,20,7.946632681,1,10,-150.0554047,25.85782959,-277111.5727
320.8552479,200.2216325,161.5495987,6,108.5972805,19.99448046,6.177601754,1,10,-150.0406647,24.04819386,-215323.1099
320.8552479,200.2216325,161.5495987,6,108.5972805,19.51257516,6.687601719,1,10,-150.0406647,24.2436218,-223755.2405
320.8552479,200.2216325,173.9755198,6,108.5972805,19.53111574,6.805153885,1,10,-150.0406647,24.54936932,-228051.6271
320.8552479,200.2216325,173.9755198,6,109.8814549,19.53111574,6.805153885,1,10,-150.0406647,24.54936932,-228051.6271
320.8552479,200.2216325,170.0549923,6,108.5972805,19.83366901,6.692100546,1,10,-150.0406647,24.58627446,-230121.1363
320.8552479,200.2216325,161.5495987,6,108.5972805,19.40016173,7.401833128,1,10,-150.0406647,24.85508731,-245261.0281
320.8552479,200.2216325,173.9755198,6,113.453319,19.63502472,7.401833128,1,10,-150.0406647,25.20722927,-250265.9987
320.8552479,200.2216325,172.1698201,6,110.7759894,19.53111574,7.554352799,1,10,-150.0406647,25.25284294,-253158.4849
320.1198335,200.2216325,161.5495987,6,108.5972805,19.83366901,7.554352799,1,10,-150.0406647,25.2942228,-259771.3884
